aba	a . b a
tlhotlhoregele	t͡lʰ ʊ . t͡lʰ ʊ . r ɪ . x ɪ . l ɪ
tlhotlho	t͡lʰ ʊ . t͡lʰ ʊ
tlhotlhwagodimo	t͡lʰ ʊ . t͡lʰ w a . x ʊ . d i . m ʊ
tlhotlhwapotlana	t͡lʰ ʊ . t͡lʰ w a . pʼ ʊ . t͡lʼ a . n a
tlhotlhwatekanyo	t͡lʰ ʊ . t͡lʰ w a . tʼ ɪ . kʼ a . ɲ ʊ
tlhotlhwatheko	t͡lʰ ʊ . t͡lʰ w a . tʰ ɪ . kʼ ʊ
tlhotlhwatlase	t͡lʰ ʊ . t͡lʰ w a . t͡lʼ a . s ɪ
tlhotlhwa	t͡lʰ ʊ . t͡lʰ w a
tlhotlhwatshenyegelo	t͡lʰ ʊ . t͡lʰ w a . t͡sʰ ɪ . ɲ ɪ . x ɪ . l ʊ
tlhotlhwautlase	t͡lʰ ʊ . t͡lʰ w a . u . t͡lʼ a . s ɪ
tlhotlhweng	t͡lʰ ʊ . t͡lʰ w ɪ . ŋ
tlhotsa	t͡lʰ ʊ . t͡sʼ a
tlhotseng	t͡lʰ ʊ . t͡sʼ ɪ . ŋ
tlhotse	t͡lʰ ʊ . t͡sʼ ɪ
tlhotswe	t͡lʰ ʊ . t͡sʼ w ɪ
tlhwaafalela	t͡lʰ w a . a . f a . l ɪ . l a
tlhwaafalo	t͡lʰ w a . a . f a . l ʊ
tlhwaile	t͡lʰ w a . i . l ɪ
tlhware	t͡lʰ w a . r ɪ
tlhwatlha	t͡lʰ w a . t͡lʰ a
tlhwatlhwagodimo	t͡lʰ w a . t͡lʰ w a . x ʊ . d i . m ʊ
tlhwatlhwatlase	t͡lʰ w a . t͡lʰ w a . t͡lʼ a . s ɪ
tlhwatlhwa	t͡lʰ w a . t͡lʰ w a
tlhwaya	t͡lʰ w a . j a
tlhwekile	t͡lʰ w ɪ . kʼ i . l ɪ
tlileng	t͡lʼ i . l ɪ . ŋ
tlile	t͡lʼ i . l ɪ
tliliniking	t͡lʼ i . l i . n i . kʼ i . ŋ
tlilweng	t͡lʼ i . l w ɪ . ŋ
tlilwe	t͡lʼ i . l w ɪ
tlisang	t͡lʼ i . s a . ŋ
tlisa	t͡lʼ i . s a
tliseditseng	t͡lʼ i . s ɪ . d i . t͡sʼ ɪ . ŋ
tliseditse	t͡lʼ i . s ɪ . d i . t͡sʼ ɪ
tlisediwa	t͡lʼ i . s ɪ . d i . w a
tliseng	t͡lʼ i . s ɪ . ŋ
tlise	t͡lʼ i . s ɪ
tlisetsa	t͡lʼ i . s ɪ . t͡sʼ a
tlisetse	t͡lʼ i . s ɪ . t͡sʼ ɪ
tlisitseng	t͡lʼ i . s i . t͡sʼ ɪ . ŋ
tlisitse	t͡lʼ i . s i . t͡sʼ ɪ
tlisitsweng	t͡lʼ i . s i . t͡sʼ w ɪ . ŋ
tlisitswe	t͡lʼ i . s i . t͡sʼ w ɪ
tlisiwang	t͡lʼ i . s i . w a . ŋ
tlisiwa	t͡lʼ i . s i . w a
tlisiwe	t͡lʼ i . s i . w ɪ
tliso	t͡lʼ i . s ʊ
tliswang	t͡lʼ i . s w a . ŋ
tliswa	t͡lʼ i . s w a
tliwa	t͡lʼ i . w a
tlodile	t͡lʼ ʊ . d i . l ɪ
tlodilwe	t͡lʼ ʊ . d i . l w ɪ
tlodisa	t͡lʼ ʊ . d i . s a
tlogang	t͡lʼ ʊ . x a . ŋ
tloga	t͡lʼ ʊ . x a
tlogedisa	t͡lʼ ʊ . x ɪ . d i . s a
tlogelang	t͡lʼ ʊ . x ɪ . l a . ŋ
tlogela	t͡lʼ ʊ . x ɪ . l a
tlogelelang	t͡lʼ ʊ . x ɪ . l ɪ . l a . ŋ
tlogelela	t͡lʼ ʊ . x ɪ . l ɪ . l a
tlogelele	t͡lʼ ʊ . x ɪ . l ɪ . l ɪ
tlogelelwa	t͡lʼ ʊ . x ɪ . l ɪ . l w a
tlogeleng	t͡lʼ ʊ . x ɪ . l ɪ . ŋ
tlogele	t͡lʼ ʊ . x ɪ . l ɪ
tlogeletse	t͡lʼ ʊ . x ɪ . l ɪ . t͡sʼ ɪ
tlogelo	t͡lʼ ʊ . x ɪ . l ʊ
tlogelwang	t͡lʼ ʊ . x ɪ . l w a . ŋ
tlogelwa	t͡lʼ ʊ . x ɪ . l w a
tlogelwe	t͡lʼ ʊ . x ɪ . l w ɪ
tloge	t͡lʼ ʊ . x ɪ
tlogetseng	t͡lʼ ʊ . x ɪ . t͡sʼ ɪ . ŋ
tlogetse	t͡lʼ ʊ . x ɪ . t͡sʼ ɪ
tlogetsweng	t͡lʼ ʊ . x ɪ . t͡sʼ w ɪ . ŋ
tlogetswe	t͡lʼ ʊ . x ɪ . t͡sʼ w ɪ
tlogileng	t͡lʼ ʊ . x i . l ɪ . ŋ
tlogile	t͡lʼ ʊ . x i . l ɪ
tlokang	t͡lʼ ʊ . kʼ a . ŋ
tlokegang	t͡lʼ ʊ . kʼ ɪ . x a . ŋ
tlokwe	t͡lʼ ʊ . kʼ w ɪ
tlolaganyolotso	t͡lʼ ʊ . l a . x a . ɲ ʊ . l ʊ . t͡sʼ ʊ
tlolang	t͡lʼ ʊ . l a . ŋ
tlola	t͡lʼ ʊ . l a
tlolela	t͡lʼ ʊ . l ɪ . l a
tlole	t͡lʼ ʊ . l ɪ
tlolomolaong	t͡lʼ ʊ . l ʊ . m ʊ . l a . ʊ . ŋ
tlolomolao	t͡lʼ ʊ . l ʊ . m ʊ . l a . ʊ
tlolomolato	t͡lʼ ʊ . l ʊ . m ʊ . l a . tʼ ʊ
tlolo	t͡lʼ ʊ . l ʊ
tlolwang	t͡lʼ ʊ . l w a . ŋ
tlolwa	t͡lʼ ʊ . l w a
tlontlololwa	t͡lʼ ʊ . n . t͡lʼ ʊ . l ʊ . l w a
tlopelo	t͡lʼ ʊ . pʼ ɪ . l ʊ
tlosang	t͡lʼ ʊ . s a . ŋ
tlosa	t͡lʼ ʊ . s a
tloseditswe	t͡lʼ ʊ . s ɪ . d i . t͡sʼ w ɪ
tloseng	t͡lʼ ʊ . s ɪ . ŋ
tlose	t͡lʼ ʊ . s ɪ
tlosetsa	t͡lʼ ʊ . s ɪ . t͡sʼ a
tlositse	t͡lʼ ʊ . s i . t͡sʼ ɪ
tlositsweng	t͡lʼ ʊ . s i . t͡sʼ w ɪ . ŋ
tlositswe	t͡lʼ ʊ . s i . t͡sʼ w ɪ
tlosiwang	t͡lʼ ʊ . s i . w a . ŋ
tlosiwa	t͡lʼ ʊ . s i . w a
tlosiwe	t͡lʼ ʊ . s i . w ɪ
tloso	t͡lʼ ʊ . s ʊ
tloswa	t͡lʼ ʊ . s w a
tloswe	t͡lʼ ʊ . s w ɪ
tlotlana	t͡lʼ ʊ . t͡lʼ a . n a
tlotlang	t͡lʼ ʊ . t͡lʼ a . ŋ
tlotlanong	t͡lʼ ʊ . t͡lʼ a . n ʊ . ŋ
tlotla	t͡lʼ ʊ . t͡lʼ a
tlotlega	t͡lʼ ʊ . t͡lʼ ɪ . x a
tlotlegile	t͡lʼ ʊ . t͡lʼ ɪ . x i . l ɪ
tlotlego	t͡lʼ ʊ . t͡lʼ ɪ . x ʊ
tlotlela	t͡lʼ ʊ . t͡lʼ ɪ . l a
tlotleng	t͡lʼ ʊ . t͡lʼ ɪ . ŋ
tlotle	t͡lʼ ʊ . t͡lʼ ɪ
tlotlile	t͡lʼ ʊ . t͡lʼ i . l ɪ
tlotlilweng	t͡lʼ ʊ . t͡lʼ i . l w ɪ . ŋ
tlotlilwe	t͡lʼ ʊ . t͡lʼ i . l w ɪ
tlotliwang	t͡lʼ ʊ . t͡lʼ i . w a . ŋ
tlotliwa	t͡lʼ ʊ . t͡lʼ i . w a
tlotliwe	t͡lʼ ʊ . t͡lʼ i . w ɪ
tlo	t͡lʼ ʊ
tlotlofokong	t͡lʼ ʊ . t͡lʼ ʊ . f ʊ . kʼ ʊ . ŋ
tlotlofoko	t͡lʼ ʊ . t͡lʼ ʊ . f ʊ . kʼ ʊ
tlotlomadiwang	t͡lʼ ʊ . t͡lʼ ʊ . m a . d i . w a . ŋ
tlotlomadiwa	t͡lʼ ʊ . t͡lʼ ʊ . m a . d i . w a
tlotlomatsang	t͡lʼ ʊ . t͡lʼ ʊ . m a . t͡sʼ a . ŋ
tlotlomatsa	t͡lʼ ʊ . t͡lʼ ʊ . m a . t͡sʼ a
tlotlomatso	t͡lʼ ʊ . t͡lʼ ʊ . m a . t͡sʼ ʊ
tlotlong	t͡lʼ ʊ . t͡lʼ ʊ . ŋ
tlotlontswe	t͡lʼ ʊ . t͡lʼ ʊ . n . t͡sʼ w ɪ
tlotlo	t͡lʼ ʊ . t͡lʼ ʊ
tlotlwang	t͡lʼ ʊ . t͡lʼ w a . ŋ
tlotlwa	t͡lʼ ʊ . t͡lʼ w a
tlotseng	t͡lʼ ʊ . t͡sʼ ɪ . ŋ
tlotse	t͡lʼ ʊ . t͡sʼ ɪ
tlotswe	t͡lʼ ʊ . t͡sʼ w ɪ
tlou	t͡lʼ ʊ . u
tlung	t͡lʼ u . ŋ
tlwaeditse	t͡lʼ w a . ɪ . d i . t͡sʼ ɪ
tlwaediwa	t͡lʼ w a . ɪ . d i . w a
tlwaelang	t͡lʼ w a . ɪ . l a . ŋ
tlwaela	t͡lʼ w a . ɪ . l a
tlwaelegang	t͡lʼ w a . ɪ . l ɪ . x a . ŋ
tlwaelega	t͡lʼ w a . ɪ . l ɪ . x a
tlwaelegileng	t͡lʼ w a . ɪ . l ɪ . x i . l ɪ . ŋ
tlwaelegile	t͡lʼ w a . ɪ . l ɪ . x i . l ɪ
tlwaelesegang	t͡lʼ w a . ɪ . l ɪ . s ɪ . x a . ŋ
tlwaelesega	t͡lʼ w a . ɪ . l ɪ . s ɪ . x a
tlwaelong	t͡lʼ w a . ɪ . l ʊ . ŋ
tlwaelo	t͡lʼ w a . ɪ . l ʊ
tlwaetsa	t͡lʼ w a . ɪ . t͡sʼ a
tlwaetseng	t͡lʼ w a . ɪ . t͡sʼ ɪ . ŋ
tlwaetse	t͡lʼ w a . ɪ . t͡sʼ ɪ
tlwaetsweng	t͡lʼ w a . ɪ . t͡sʼ w ɪ . ŋ
tlwalegang	t͡lʼ w a . l ɪ . x a . ŋ
tobetsa	tʼ ʊ . b ɪ . t͡sʼ a
tobetse	tʼ ʊ . b ɪ . t͡sʼ ɪ
tobileng	tʼ ʊ . b i . l ɪ . ŋ
tobisitsweng	tʼ ʊ . b i . s i . t͡sʼ w ɪ . ŋ
togagano	tʼ ʊ . x a . x a . n ʊ
togaganyo	tʼ ʊ . x a . x a . ɲ ʊ
togamaanong	tʼ ʊ . x a . m a . a . n ʊ . ŋ
togamaano	tʼ ʊ . x a . m a . a . n ʊ
togamano	tʼ ʊ . x a . m a . n ʊ
togetso	tʼ ʊ . x ɪ . t͡sʼ ʊ
tokafaditse	tʼ ʊ . kʼ a . f a . d i . t͡sʼ ɪ
tokafaditsweng	tʼ ʊ . kʼ a . f a . d i . t͡sʼ w ɪ . ŋ
tokafaditswe	tʼ ʊ . kʼ a . f a . d i . t͡sʼ w ɪ
tokafadiwa	tʼ ʊ . kʼ a . f a . d i . w a
tokafadiwe	tʼ ʊ . kʼ a . f a . d i . w ɪ
tokafalang	tʼ ʊ . kʼ a . f a . l a . ŋ
tokafala	tʼ ʊ . kʼ a . f a . l a
tokafale	tʼ ʊ . kʼ a . f a . l ɪ
tokafalo	tʼ ʊ . kʼ a . f a . l ʊ
tokafatsang	tʼ ʊ . kʼ a . f a . t͡sʼ a . ŋ
tokafatsa	tʼ ʊ . kʼ a . f a . t͡sʼ a
tokafatseng	tʼ ʊ . kʼ a . f a . t͡sʼ ɪ . ŋ
tokafatse	tʼ ʊ . kʼ a . f a . t͡sʼ ɪ
tokafatsong	tʼ ʊ . kʼ a . f a . t͡sʼ ʊ . ŋ
tokafatso	tʼ ʊ . kʼ a . f a . t͡sʼ ʊ
tokafatswa	tʼ ʊ . kʼ a . f a . t͡sʼ w a
tokafetseng	tʼ ʊ . kʼ a . f ɪ . t͡sʼ ɪ . ŋ
tokafetse	tʼ ʊ . kʼ a . f ɪ . t͡sʼ ɪ
toka	tʼ ʊ . kʼ a
tokofatsang	tʼ ʊ . kʼ ʊ . f a . t͡sʼ a . ŋ
tokofatsa	tʼ ʊ . kʼ ʊ . f a . t͡sʼ a
tokofatswe	tʼ ʊ . kʼ ʊ . f a . t͡sʼ w ɪ
tokologong	tʼ ʊ . kʼ ʊ . l ʊ . x ʊ . ŋ
tokologo	tʼ ʊ . kʼ ʊ . l ʊ . x ʊ
tokololong	tʼ ʊ . kʼ ʊ . l ʊ . l ʊ . ŋ
tokololo	tʼ ʊ . kʼ ʊ . l ʊ . l ʊ
tokolo	tʼ ʊ . kʼ ʊ . l ʊ
tokomaneng	tʼ ʊ . kʼ ʊ . m a . n ɪ . ŋ
tokomane	tʼ ʊ . kʼ ʊ . m a . n ɪ
tolamiso	tʼ ʊ . l a . m i . s ʊ
tolamo	tʼ ʊ . l a . m ʊ
tolokela	tʼ ʊ . l ʊ . kʼ ɪ . l a
tolokelwa	tʼ ʊ . l ʊ . kʼ ɪ . l w a
tolokiwang	tʼ ʊ . l ʊ . kʼ i . w a . ŋ
tolololo	tʼ ʊ . l ʊ . l ʊ . l ʊ
tomaganong	tʼ ʊ . m a . x a . n ʊ . ŋ
tomagano	tʼ ʊ . m a . x a . n ʊ
tomaganyo	tʼ ʊ . m a . x a . ɲ ʊ
tomolang	tʼ ʊ . m ʊ . l a . ŋ
tonakgolo	tʼ ʊ . n a . k͡x ʊ . l ʊ
tonanyana	tʼ ʊ . n a . ɲ a . n a
tona	tʼ ʊ . n a
topo	tʼ ʊ . pʼ ʊ
torong	tʼ ʊ . r ʊ . ŋ
toropong	tʼ ʊ . r ʊ . pʼ ʊ . ŋ
toropo	tʼ ʊ . r ʊ . pʼ ʊ
toro	tʼ ʊ . r ʊ
torotswana	tʼ ʊ . r ʊ . t͡sʼ w a . n a
totang	tʼ ʊ . tʼ a . ŋ
tota	tʼ ʊ . tʼ a
totatota	tʼ ʊ . tʼ a . tʼ ʊ . tʼ a
totileng	tʼ ʊ . tʼ i . l ɪ . ŋ
totile	tʼ ʊ . tʼ i . l ɪ
totilweng	tʼ ʊ . tʼ i . l w ɪ . ŋ
totilwe	tʼ ʊ . tʼ i . l w ɪ
totisitswe	tʼ ʊ . tʼ i . s i . t͡sʼ w ɪ
totobaditse	tʼ ʊ . tʼ ʊ . b a . d i . t͡sʼ ɪ
totobaditsweng	tʼ ʊ . tʼ ʊ . b a . d i . t͡sʼ w ɪ . ŋ
totobaditswe	tʼ ʊ . tʼ ʊ . b a . d i . t͡sʼ w ɪ
totobadiwa	tʼ ʊ . tʼ ʊ . b a . d i . w a
totobalang	tʼ ʊ . tʼ ʊ . b a . l a . ŋ
totobala	tʼ ʊ . tʼ ʊ . b a . l a
totobalo	tʼ ʊ . tʼ ʊ . b a . l ʊ
totobatsang	tʼ ʊ . tʼ ʊ . b a . t͡sʼ a . ŋ
totobatsa	tʼ ʊ . tʼ ʊ . b a . t͡sʼ a
totobetseng	tʼ ʊ . tʼ ʊ . b ɪ . t͡sʼ ɪ . ŋ
totobetse	tʼ ʊ . tʼ ʊ . b ɪ . t͡sʼ ɪ
totšhe	tʼ ʊ . t͡ʃʰ ɪ
towe	tʼ ʊ . w ɪ
tsaana	t͡sʼ a . a . n a
tsaa	t͡sʼ a . a
tsabakelang	t͡sʼ a . b a . kʼ ɪ . l a . ŋ
tsadisa	t͡sʼ a . d i . s a
tsadiso	t͡sʼ a . d i . s ʊ
tsalana	t͡sʼ a . l a . n a
tsalane	t͡sʼ a . l a . n ɪ
tsalang	t͡sʼ a . l a . ŋ
tsalano	t͡sʼ a . l a . n ʊ
tsala	t͡sʼ a . l a
tsalela	t͡sʼ a . l ɪ . l a
tsaleng	t͡sʼ a . l ɪ . ŋ
tsale	t͡sʼ a . l ɪ
tšale	t͡ʃʼ a . l ɪ
tsaletswe	t͡sʼ a . l ɪ . t͡sʼ w ɪ
tsalong	t͡sʼ a . l ʊ . ŋ
tsalo	t͡sʼ a . l ʊ
tsalwang	t͡sʼ a . l w a . ŋ
tsalwa	t͡sʼ a . l w a
tsalwe	t͡sʼ a . l w ɪ
tsamaelalang	t͡sʼ a . m a . ɪ . l a . l a . ŋ
tsamaelanang	t͡sʼ a . m a . ɪ . l a . n a . ŋ
tsamaelana	t͡sʼ a . m a . ɪ . l a . n a
tsamaelaneng	t͡sʼ a . m a . ɪ . l a . n ɪ . ŋ
tsamaelane	t͡sʼ a . m a . ɪ . l a . n ɪ
tsamaelang	t͡sʼ a . m a . ɪ . l a . ŋ
tsamaelano	t͡sʼ a . m a . ɪ . l a . n ʊ
tsamaela	t͡sʼ a . m a . ɪ . l a
tsamaeng	t͡sʼ a . m a . ɪ . ŋ
tsamae	t͡sʼ a . m a . ɪ
tsamaileng	t͡sʼ a . m a . i . l ɪ . ŋ
tsamaile	t͡sʼ a . m a . i . l ɪ
tsamaisanang	t͡sʼ a . m a . i . s a . n a . ŋ
tsamaisana	t͡sʼ a . m a . i . s a . n a
tsamaisaneng	t͡sʼ a . m a . i . s a . n ɪ . ŋ
tsamaisane	t͡sʼ a . m a . i . s a . n ɪ
tsamaisang	t͡sʼ a . m a . i . s a . ŋ
tsamaisanngwa	t͡sʼ a . m a . i . s a . n . ŋ w a
tsamaisanong	t͡sʼ a . m a . i . s a . n ʊ . ŋ
tsamaisano	t͡sʼ a . m a . i . s a . n ʊ
tsamaisanya	t͡sʼ a . m a . i . s a . ɲ a
tsamaisa	t͡sʼ a . m a . i . s a
tsamaiseng	t͡sʼ a . m a . i . s ɪ . ŋ
tsamaise	t͡sʼ a . m a . i . s ɪ
tsamaisitseng	t͡sʼ a . m a . i . s i . t͡sʼ ɪ . ŋ
tsamaisitse	t͡sʼ a . m a . i . s i . t͡sʼ ɪ
tsamaisitswe	t͡sʼ a . m a . i . s i . t͡sʼ w ɪ
tsamaisiwang	t͡sʼ a . m a . i . s i . w a . ŋ
tsamaisiwa	t͡sʼ a . m a . i . s i . w a
tsamaisiwe	t͡sʼ a . m a . i . s i . w ɪ
tsamaisodijalong	t͡sʼ a . m a . i . s ʊ . d i . d͡ʒ a . l ʊ . ŋ
tsamaisodijalo	t͡sʼ a . m a . i . s ʊ . d i . d͡ʒ a . l ʊ
tsamaisomathata	t͡sʼ a . m a . i . s ʊ . m a . tʰ a . tʼ a
tsamaisomatlole	t͡sʼ a . m a . i . s ʊ . m a . t͡lʼ ʊ . l ɪ
tsamaisong	t͡sʼ a . m a . i . s ʊ . ŋ
tsamaisotaolo	t͡sʼ a . m a . i . s ʊ . tʼ a . ʊ . l ʊ
tsamaisotemothuo	t͡sʼ a . m a . i . s ʊ . tʼ ɪ . m ʊ . tʰ u . ʊ
tsamaiso	t͡sʼ a . m a . i . s ʊ
tsamaiswa	t͡sʼ a . m a . i . s w a
tsamai	t͡sʼ a . m a . i
tsamaiwa	t͡sʼ a . m a . i . w a
tsamaong	t͡sʼ a . m a . ʊ . ŋ
tsamaosetshikana	t͡sʼ a . m a . ʊ . s ɪ . t͡sʰ i . kʼ a . n a
tsamao	t͡sʼ a . m a . ʊ
tsamayang	t͡sʼ a . m a . j a . ŋ
tsamaya	t͡sʼ a . m a . j a
tsamaye	t͡sʼ a . m a . j ɪ
tsamisiwang	t͡sʼ a . m i . s i . w a . ŋ
tsamisong	t͡sʼ a . m i . s ʊ . ŋ
tsamiso	t͡sʼ a . m i . s ʊ
tsamotheo	t͡sʼ a . m ʊ . tʰ ɪ . ʊ
tšararegile	t͡ʃʼ a . r a . r ɪ . x i . l ɪ
tsa	t͡sʼ a
tsatsing	t͡sʼ a . t͡sʼ i . ŋ
tsatsi	t͡sʼ a . t͡sʼ i
tsayakarolo	t͡sʼ a . j a . kʼ a . r ʊ . l ʊ
tsayang	t͡sʼ a . j a . ŋ
tsaya	t͡sʼ a . j a
tsebeng	t͡sʼ ɪ . b ɪ . ŋ
tsebentlha	t͡sʼ ɪ . b ɪ . n . t͡lʰ a
tsebe	t͡sʼ ɪ . b ɪ
tsedi	t͡sʼ ɪ . d i
tseelana	t͡sʼ ɪ . ɪ . l a . n a
tseelang	t͡sʼ ɪ . ɪ . l a . ŋ
tseela	t͡sʼ ɪ . ɪ . l a
tseeletsa	t͡sʼ ɪ . ɪ . l ɪ . t͡sʼ a
tseele	t͡sʼ ɪ . ɪ . l ɪ
tseeletswa	t͡sʼ ɪ . ɪ . l ɪ . t͡sʼ w a
tseelwang	t͡sʼ ɪ . ɪ . l w a . ŋ
tseelwa	t͡sʼ ɪ . ɪ . l w a
tseelwe	t͡sʼ ɪ . ɪ . l w ɪ
tseeng	t͡sʼ ɪ . ɪ . ŋ
tsee	t͡sʼ ɪ . ɪ
tseetsweng	t͡sʼ ɪ . ɪ . t͡sʼ w ɪ . ŋ
tseetswe	t͡sʼ ɪ . ɪ . t͡sʼ w ɪ
tsehekatshekong	t͡sʼ ɪ . h ɪ . kʼ a . t͡sʰ ɪ . kʼ ʊ . ŋ
tselakhutshwane	t͡sʼ ɪ . l a . kʰ u . t͡sʰ w a . n ɪ
tselanathokong	t͡sʼ ɪ . l a . n a . tʰ ʊ . kʼ ʊ . ŋ
tselana	t͡sʼ ɪ . l a . n a
tselaneng	t͡sʼ ɪ . l a . n ɪ . ŋ
tselang	t͡sʼ ɪ . l a . ŋ
tselanngwe	t͡sʼ ɪ . l a . n . ŋ w ɪ
tselapedi	t͡sʼ ɪ . l a . pʼ ɪ . d i
tselataolo	t͡sʼ ɪ . l a . tʼ a . ʊ . l ʊ
tsela	t͡sʼ ɪ . l a
tselatshweu	t͡sʼ ɪ . l a . t͡sʰ w ɪ . u
tselegangwa	t͡sʼ ɪ . l ɪ . x a . ŋ w a
tseleganngwa	t͡sʼ ɪ . l ɪ . x a . n . ŋ w a
tseleganngwe	t͡sʼ ɪ . l ɪ . x a . n . ŋ w ɪ
tselegantsweng	t͡sʼ ɪ . l ɪ . x a . n . t͡sʼ w ɪ . ŋ
tseleganya	t͡sʼ ɪ . l ɪ . x a . ɲ a
tseleganyo	t͡sʼ ɪ . l ɪ . x a . ɲ ʊ
tseleng	t͡sʼ ɪ . l ɪ . ŋ
tsele	t͡sʼ ɪ . l ɪ
tsenang	t͡sʼ ɪ . n a . ŋ
tsena	t͡sʼ ɪ . n a
tsenelang	t͡sʼ ɪ . n ɪ . l a . ŋ
tsenela	t͡sʼ ɪ . n ɪ . l a
tsenelelang	t͡sʼ ɪ . n ɪ . l ɪ . l a . ŋ
tsenelela	t͡sʼ ɪ . n ɪ . l ɪ . l a
tseneleleng	t͡sʼ ɪ . n ɪ . l ɪ . l ɪ . ŋ
tsenelelo	t͡sʼ ɪ . n ɪ . l ɪ . l ʊ
tsenele	t͡sʼ ɪ . n ɪ . l ɪ
tseneletseng	t͡sʼ ɪ . n ɪ . l ɪ . t͡sʼ ɪ . ŋ
tseneletse	t͡sʼ ɪ . n ɪ . l ɪ . t͡sʼ ɪ
tsenelo	t͡sʼ ɪ . n ɪ . l ʊ
tsenelwa	t͡sʼ ɪ . n ɪ . l w a
tsenelwe	t͡sʼ ɪ . n ɪ . l w ɪ
tseneng	t͡sʼ ɪ . n ɪ . ŋ
tsene	t͡sʼ ɪ . n ɪ
tsenetseng	t͡sʼ ɪ . n ɪ . t͡sʼ ɪ . ŋ
tsenetse	t͡sʼ ɪ . n ɪ . t͡sʼ ɪ
tsenetsweng	t͡sʼ ɪ . n ɪ . t͡sʼ w ɪ . ŋ
tsenetswe	t͡sʼ ɪ . n ɪ . t͡sʼ w ɪ
tseneyelediwa	t͡sʼ ɪ . n ɪ . j ɪ . l ɪ . d i . w a
tsengwang	t͡sʼ ɪ . ŋ w a . ŋ
tsengwa	t͡sʼ ɪ . ŋ w a
tsenngwang	t͡sʼ ɪ . n . ŋ w a . ŋ
tsenngwatirisong	t͡sʼ ɪ . n . ŋ w a . tʼ i . r i . s ʊ . ŋ
tsenngwa	t͡sʼ ɪ . n . ŋ w a
tsenngwe	t͡sʼ ɪ . n . ŋ w ɪ
tseno	t͡sʼ ɪ . n ʊ
tsentseng	t͡sʼ ɪ . n . t͡sʼ ɪ . ŋ
tsentse	t͡sʼ ɪ . n . t͡sʼ ɪ
tsentsho	t͡sʼ ɪ . n . t͡sʰ ʊ
tsentshwang	t͡sʼ ɪ . n . t͡sʰ w a . ŋ
tsentsweng	t͡sʼ ɪ . n . t͡sʼ w ɪ . ŋ
tsentswe	t͡sʼ ɪ . n . t͡sʼ w ɪ
tsenwang	t͡sʼ ɪ . n w a . ŋ
tsenwa	t͡sʼ ɪ . n w a
tsenweng	t͡sʼ ɪ . n w ɪ . ŋ
tsenwe	t͡sʼ ɪ . n w ɪ
tsenwetsenwe	t͡sʼ ɪ . n w ɪ . t͡sʼ ɪ . n w ɪ
tsenyang	t͡sʼ ɪ . ɲ a . ŋ
tsenyatirisong	t͡sʼ ɪ . ɲ a . tʼ i . r i . s ʊ . ŋ
tsenya	t͡sʼ ɪ . ɲ a
tsenyeleditsweng	t͡sʼ ɪ . ɲ ɪ . l ɪ . d i . t͡sʼ w ɪ . ŋ
tsenyeleditswe	t͡sʼ ɪ . ɲ ɪ . l ɪ . d i . t͡sʼ w ɪ
tsenyelediwa	t͡sʼ ɪ . ɲ ɪ . l ɪ . d i . w a
tsenyeletsang	t͡sʼ ɪ . ɲ ɪ . l ɪ . t͡sʼ a . ŋ
tsenyeletsa	t͡sʼ ɪ . ɲ ɪ . l ɪ . t͡sʼ a
tsenyeletse	t͡sʼ ɪ . ɲ ɪ . l ɪ . t͡sʼ ɪ
tsenyeletso	t͡sʼ ɪ . ɲ ɪ . l ɪ . t͡sʼ ʊ
tsenyeletswang	t͡sʼ ɪ . ɲ ɪ . l ɪ . t͡sʼ w a . ŋ
tsenyeng	t͡sʼ ɪ . ɲ ɪ . ŋ
tsenyetirisong	t͡sʼ ɪ . ɲ ɪ . tʼ i . r i . s ʊ . ŋ
tsenyetsang	t͡sʼ ɪ . ɲ ɪ . t͡sʼ a . ŋ
tsenyetsa	t͡sʼ ɪ . ɲ ɪ . t͡sʼ a
tsenye	t͡sʼ ɪ . ɲ ɪ
tsenyetswa	t͡sʼ ɪ . ɲ ɪ . t͡sʼ w a
tsenylediwa	t͡sʼ ɪ . ɲ . l ɪ . d i . w a
tsenyotirisong	t͡sʼ ɪ . ɲ ʊ . tʼ i . r i . s ʊ . ŋ
tsenyo	t͡sʼ ɪ . ɲ ʊ
tsenywe	t͡sʼ ɪ . ɲ w ɪ
tseokarolo	t͡sʼ ɪ . ʊ . kʼ a . r ʊ . l ʊ
tseo	t͡sʼ ɪ . ʊ
tsepamang	t͡sʼ ɪ . pʼ a . m a . ŋ
tsepama	t͡sʼ ɪ . pʼ a . m a
tsepameng	t͡sʼ ɪ . pʼ a . m ɪ . ŋ
tsepame	t͡sʼ ɪ . pʼ a . m ɪ
tsepametse	t͡sʼ ɪ . pʼ a . m ɪ . t͡sʼ ɪ
tsepamisa	t͡sʼ ɪ . pʼ a . m i . s a
tsepamise	t͡sʼ ɪ . pʼ a . m i . s ɪ
tsepamisitse	t͡sʼ ɪ . pʼ a . m i . s i . t͡sʼ ɪ
tsepamisitsweng	t͡sʼ ɪ . pʼ a . m i . s i . t͡sʼ w ɪ . ŋ
tsepamisiwa	t͡sʼ ɪ . pʼ a . m i . s i . w a
tsepamisiwe	t͡sʼ ɪ . pʼ a . m i . s i . w ɪ
tsepamisokgopolo	t͡sʼ ɪ . pʼ a . m i . s ʊ . k͡x ʊ . pʼ ʊ . l ʊ
