a	A:
sperdatum	s p { r d A: t 9 m
sperme	s p { r m @
sperm	s p { r m
sperms	s p { r m s
spertyd	s p { r t @i t
spertye	s p { r t @i @
spervuur	s p { r f y r
speserye	s p @ s @ r @i @
spesiaal	s p i S i A: l
spesiale	s p i S i A: l @
spesialiseer	s p E S a l i s i@ r
spesialiseringsrigting	s p E S i a l i s i@ r @ N s r @ x t @ N
spesialis	s p E S a l @ s
spesialiste	s p E S a l @ s t @
spesie	s p i@ s i
spesies	s p i@ s i s
spesifieke	s p E s @ f i k @
spesifiek	s p E s @ f i k
spesifikasie	s p E s i f i k A: s i
spesifikasies	s p E s i f i k A: s i s
speurder	s p 2: r d @ r
speurders	s p 2: r d @ r s
speurdiens	s p 2: r d i n s
speurhoof	s p 2: r h\ u@ f
speurtak	s p 2: r t a k
speurverhaal	s p 2: r f @ r h\ A: l
speurwerk	s p 2: r v { r k
spieël	s p i @ l
spierdistrofie	s p i r d @ s t r u f i
spiere	s p i r @
spiergroepe	s p i r x r u p @
spiermassa	s p i r m a s a
spier	s p i r
spiervesels	s p i r f i@ s @ l s
spierweefsel	s p i r v i@ f s @ l
spierwit	s p i r v @ t
spiese	s p i s @
spiesgooi	s p i s x u@ i
spies	s p i s
spilpunt	s p @ l p 9 n t
spil	s p @ l
spinale	s p i n A: l @
spinasie	s p i n A: s i
spinnekoppe	s p @ n @ k O p @
spioenasie	s p i u n A: s i
spioene	s p i u n @
spioen	s p i u n
spiritualiteit	s p @ r @ t y a l i t @i t
spitsberaad	s p @ t s b @ r A: t
spit	s p @ t
spits	s p @ t s
spitstyd	s p @ t s t @i t
spitsverkeer	s p @ t s f @ r k i@ r
splinternuut	s p l @ n t @ r n y t
splinternuwe	s p l @ n t @ r n y v @
split	s p l @ t
splyting	s p l @i t @ N
spoedgrens	s p u t x r E n s
spoedige	s p u d @ x @
spoedig	s p u d @ x
spoedlees	s p u t l i@ s
spoed	s p u t
spoedvergadering	s p u t f @ r x A: d @ r @ N
spoeg	s p u x
spoel	s p u l
spoggeleentheid	s p O x @ l i@ n t h\ @i t
spoggerige	s p O x @ r @ x @
spoghuis	s p O x h\ 9y s
spog	s p O x
spoke	s p u@ k @
spons	s p O n s
spontaan	s p O n t A: n
spontane	s p O n t A: n @
spook	s p u@ k
spoorloos	s p u@ r l u@ s
spoorlyn	s p u@ r l @i n
spoor	s p u@ r
spoorvervoer	s p u@ r f @ r f u r
spoorweg	s p u@ r v { x
spoorwegstasie	s p u@ r v { x s t A: s i
sporadiese	s p u r A: d i s @
sporadies	s p u r A: d i s
spore	s p u@ r @
sportbestuur	s p O r t b @ s t y r
sportburo	s p O r t b y r u@
sportbyeenkomste	s p O r t b @i i@ n k O m s t @
sportdag	s p O r t d a x
sportdeelname	s p O r t d i@ l n A: m @
sportfederasies	s p O r t f E d @ r A: s i s
sportfilosofie	s p O r t f i l u s u f i
sportgebeure	s p O r t x @ b 2: r @
sportgebied	s p O r t x @ b i t
sportgeleenthede	s p O r t x @ l i@ n t h\ i@ d @
sportgeriewe	s p O r t x @ r i v @
sportief	s p O r t i f
sportiewe	s p O r t i v @
sportklubs	s p O r t k l 9 b s
sportkompleks	s p O r t k O m p l E k s
sportkunde	s p O r t k 9 n d @
sportliefhebbers	s p O r t l i f h\ E b @ r s
sportliggame	s p O r t l @ x A: m @
sportlui	s p O r t l 9y
sportmanne	s p O r t m a n @
sportman	s p O r t m a n
sportmense	s p O r t m E n s @
sportmotors	s p O r t m u@ t @ r s
sportnuus	s p O r t n y s
sportprestasie	s p O r t p r E s t A: s i
sportpsigologiese	s p O r t s i x u l u@ x i s @
sportredakteur	s p O r t r E d a k t 2: r
sportsentrum	s p O r t s E n t r 9 m
sportsoorte	s p O r t s u@ r t @
sportsoort	s p O r t s u@ r t
sportspesifieke	s p O r t s p E s @ f i k @
sport	s p O r t
sportstadion	s p O r t s t A: d i O n
sportsterre	s p O r t s t { r @
sportster	s p O r t s t { r
sportuitslae	s p O r t 9y t s l A: @
sportvaardighede	s p O r t f A: r d @ x h\ i@ d @
sportvelde	s p O r t f { l d @
sportveld	s p O r t f { l t
sportvrou	s p O r t f r @u
sportwetenskaplike	s p O r t v i@ t @ n s k a p l @ k @
sportwetenskap	s p O r t v i@ t @ n s k a p
spotgoedkoop	s p O t x u t k u@ p
spotprente	s p O t p r E n t @
spotprent	s p O t p r E n t
spot	s p O t
spraakorgane	s p r A: k O r x A: n @
spraak	s p r A: k
sprakeloos	s p r A: k @ l u@ s
sprake	s p r A: k @
sprankelende	s p r a N k @ l @ n d @
sprankel	s p r a N k @ l
spreekbeurt	s p r i@ k b 2: r t
spreekkamer	s p r i@ k A: m @ r
spreekkamers	s p r i@ k A: m @ r s
spreek	s p r i@ k
spreektaal	s p r i@ k t A: l
spreektye	s p r i@ k t @i @
spreekwoordelike	s p r i@ k v u@ r d @ l @ k @
spreekwoorde	s p r i@ k v u@ r d @
spreekwoord	s p r i@ k v u@ r t
spreiding	s p r @i d @ N
spreiligte	s p r @i l @ x t @
sprei	s p r @i
sprekende	s p r i@ k @ n d @
sprekend	s p r i@ k @ n t
spreker	s p r i@ k @ r
sprekers	s p r i@ k @ r s
spreke	s p r i@ k @
spreuke	s p r 2: k @
spreuk	s p r 2: k
springbokke	s p r @ N b O k @
springbokkleure	s p r @ N b O k l 2: r @
springbokpark	s p r @ N b O k p a r k
springbok	s p r @ N b O k
springer	s p r @ N @ r
springlewendig	s p r @ N l i@ v @ n d @ x
springmielies	s p r @ N m i l i s
spring	s p r @ N
springstof	s p r @ N s t O f
sprinkaan	s p r @ N k A: n
sprinkane	s p r @ N k A: n @
sprinkel	s p r @ N k @ l
sproei	s p r u i
sproete	s p r u t @
sprokie	s p r u@ k i
sprokies	s p r u@ k i s
spronge	s p r O N @
sprong	s p r O N
spruit	s p r 9y t
spuit	s p 9y t
spulletjie	s p 9 l i k i
spul	s p 9 l
spyker	s p @i k @ r
spykers	s p @i k @ r s
spyseniering	s p @i s @ n i r @ N
spyskaarte	s p @i s k A: r t @
spyskaart	s p @i s k A: r t
spy	s p @i
spysverteringskanaal	s p @i s f @ r t i@ r @ N s k a n A: l
spysvertering	s p @i s f @ r t i@ r @ N
spysverteringstelsel	s p @i s f @ r t i@ r @ N s t { l s @ l
spyte	s p @i t @
spyt	s p @i t
staaf	s t A: f
staak	s t A: k
staalbedryf	s t A: l b @ d r @i f
staal	s t A: l
staaltjies	s t A: l k i s
staaltjie	s t A: l k i
staande	s t A: n d @
staangemaak	s t A: n x @ m A: k
staanplekke	s t A: n p l { k @
staanplek	s t A: n p l { k
staanspoor	s t A: n s p u@ r
staan	s t A: n
staar	s t A: r
staatgemaak	s t A: t x @ m A: k
staatkundige	s t A: t k 9 n d @ x @
staatmaak	s t A: t m A: k
staatmakers	s t A: t m A: k @ r s
staatmaker	s t A: t m A: k @ r
staatsaanklaers	s t A: t s A: n k l A: @ r s
staatsaanklaer	s t A: t s A: n k l A: @ r
staatsadvokaat	s t A: t s a t f u k A: t
staatsadvokate	s t A: t s a t f u k A: t @
staatsamptenaar	s t A: t s a m p t @ n A: r
staatsamptenare	s t A: t s a m p t @ n A: r @
staatsbates	s t A: t s b A: t @ s
staatsbeheerde	s t A: t s b @ h\ i@ r d @
staatsbeheer	s t A: t s b @ h\ i@ r
staatsbesteding	s t A: t s b @ s t i@ d @ N
staatsbestel	s t A: t s b @ s t { l
staatsbiblioteek	s t A: t s b @ b l i u t i@ k
staatsdepartemente	s t A: t s d @ p a r t @ m E n t @
staatsdienskommissie	s t A: t s d i n s k u m i s i
staatsdiens	s t A: t s d i n s
staatsdienswet	s t A: t s d i n s v E t
staatseffekte	s t A: t s i f E k t @
staatseiendom	s t A: t s @i @ n d O m
staatsfinansies	s t A: t s f i n a n s i s
staatsgeboue	s t A: t s x @ b @u @
staatsgeld	s t A: t s x { l t
staatsgetuies	s t A: t s x @ t 9y @ s
staatsgetuie	s t A: t s x @ t 9y @
staatsgreep	s t A: t s x r i@ p
staatshoofde	s t A: t s h\ u@ f d @
staatshoof	s t A: t s h\ u@ f
staatshospitaal	s t A: t s h\ O s p i t A: l
staatshospitale	s t A: t s h\ O s p i t A: l @
staatsinstellings	s t A: t s @ n s t { l @ N s
staatskas	s t A: t s k a s
staatskoerant	s t A: t s k u r a n t
staatskole	s t A: t s k u@ l @
staatskorporasies	s t A: t s k O r p u r A: s i s
staatskuld	s t A: t s k 9 l t
staatslotery	s t A: t s l u@ t @ r @i
staatsmag	s t A: t s m a x
staatsman	s t A: t s m a n
staatsondersteunde	s t A: t s O n d @ r s t 2: n d @
staatsopera	s t A: t s u@ p @ r a
staatspresident	s t A: t s p r @ s @ d E n t
staatsprokureur	s t A: t s p r O k 9 r 2: r
staatsrede	s t A: t s r i@ d @
staat	s t A: t
staatsteater	s t A: t s t i A: t @ r
staatsubsidie	s t A: t s 9 b s i d i
staatsuitgawes	s t A: t s 9y t x A: v @ s
staatsveiligheidsraad	s t A: t s f @i l @ x h\ @i t s r A: t
stabiele	s t a b i l @
stabiel	s t a b i l
stabiliseer	s t a b @ l i s i@ r
stabilisering	s t a b @ l i s i@ r @ N
stabiliteit	s t a b @ l i t @i t
stadhuis	s t a t h\ 9y s
stadigaan	s t A: d @ x A: n
stadiger	s t A: d @ x @ r
stadige	s t A: d @ x @
stadig	s t A: d @ x
stadions	s t A: d i O n s
stadion	s t A: d i O n
stadiums	s t A: d i 9 m s
stadium	s t A: d i 9 m
stadsaal	s t a t s A: l
stadsbeplanning	s t a t s b @ p l a n @ N
stadsbestuurder	s t a t s b @ s t y r d @ r
stadsekretaris	s t a t s @ k r @ t A: r @ s
stadsjapies	s t a t s j A: p i s
stadskern	s t a t s k { r n
stadsklerke	s t a t s k l { r k @
stadsklerk	s t a t s k l { r k
stadskouburg	s t a t s k @u b 9 r x
stadspolisie	s t a t s p u l i s i
stadsraadslede	s t a t s r A: t s l i@ d @
stadsraadslid	s t a t s r A: t s l @ t
stadsraad	s t a t s r A: t
stadsrade	s t a t s r A: d @
stad	s t a t
stadstate	s t a t s t A: t @
stadstatus	s t a t s t A: t 9 s
stadsteater	s t a t s t i A: t @ r
stadsvaders	s t a t s f A: d @ r s
stadsverkeer	s t a t s f @ r k i@ r
stafhoof	s t a f h\ u@ f
stafies	s t A: f i s
staf	s t a f
stagnasie	s t a x n A: s i
stagneer	s t a x n i@ r
stakende	s t A: k @ n d @
stakers	s t A: k @ r s
stakings	s t A: k @ N s
staking	s t A: k @ N
stalle	s t a l @
stalletjies	s t a l i k i s
stalletjie	s t a l i k i
stalmaats	s t a l m A: t s
stalmaat	s t a l m A: t
stal	s t a l
stamel	s t A: m @ l
stamhoofde	s t a m h\ u@ f d @
stamme	s t a m @
stamper	s t a m p @ r
stamp	s t a m p
stampvol	s t a m p f O l
stamselnavorsing	s t a m s { l n A: f O r s @ N
stam	s t a m
standaardafrikaans	s t a n d A: r d a f r i k A: n s
standaardafwyking	s t a n d A: r t a f v @i k @ N
standaarde	s t a n d A: r d @
standaardgraad	s t a n d A: r t x r A: t
standaardisering	s t a n d A: r d i s i@ r @ N
standaardkoste	s t a n d A: r t k O s t @
standaard	s t a n d A: r t
standaardtaal	s t a n d A: r t A: l
standaardtoerusting	s t a n d A: r t u r 9 s t @ N
standaardvariëteit	s t a n d A: r t v a r i@ t @i t
standaardvorm	s t a n d A: r t f O r m
standbeeld	s t a n t b i@ l t
standerd	s t a n d @ r t
stander	s t a n d @ r
standplase	s t a n t p l A: s @
standpunte	s t a n t p 9 n t @
standpuntinnames	s t a n t p 9 n t @ n A: m @ s
standpuntinname	s t a n t p 9 n t @ n A: m @
standpunt	s t a n t p 9 n t
stand	s t a n t
stang	s t a N
stapels	s t A: p @ l s
stapel	s t A: p @ l
stappers	s t a p @ r s
stapper	s t a p @ r
stappe	s t a p @
staproete	s t a p r u t @
stap	s t a p
staptog	s t a p t O x
star	s t a r
stasiekommissaris	s t A: s i k O m @ s A: r @ s
stasies	s t A: s i s
stasie	s t A: s i
statebondslande	s t A: t @ b O n t s l a n d @
statebond	s t A: t @ b O n t
state	s t A: t @
statige	s t A: t @ x @
statistica	s t a t @ s t i k a
statistiekdiens	s t a t @ s t i k d i n s
statistieke	s t a t @ s t i k @
statistiek	s t a t @ s t i k
status	s t A: t 9 s
statutêre	s t a t y t { r @
statutêr	s t a t y t { r
statute	s t a t y t @
statuur	s t a t y r
stawende	s t A: v @ n d @
steak	s t @i k
stedelike	s t i@ d @ l @ k @
stede	s t i@ d @
steeds	s t i@ t s
steekproefneming	s t i@ k p r u f n i@ m @ N
steekproef	s t i@ k p r u f
steekproeftrekking	s t i@ k p r u f t r { k @ N
steeks	s t i@ k s
steek	s t i@ k
steekwonde	s t i@ k v O n d @
steelkant	s t i@ l k a n t
steel	s t i@ l
steenbokke	s t i@ n b O k @
steenkoolmyn	s t i@ n k u@ l m @i n
steenkool	s t i@ n k u@ l
steen	s t i@ n
steentyd	s t i@ n t @i t
steier	s t @i @ r
steiler	s t @i l @ r
steil	s t @i l
steilte	s t @i l t @
steke	s t i@ k @
stellenbosse	s t { l @ n b O s @
stelle	s t { l @
stellig	s t { l @ x
stellings	s t { l @ N s
stelling	s t { l @ N
stelselmatig	s t { l s @ l m A: t @ x
stelselontwikkeling	s t { l s @ l O n t v @ k @ l @ N
stelsels	s t { l s @ l s
stelsel	s t { l s @ l
stelsin	s t { l s @ n
stelskoppers	s t { l s k O p @ r s
stelskopper	s t { l s k O p @ r
stelskopwerk	s t { l s k O p v { r k
stel	s t { l
stelwerk	s t { l v { r k
stembande	s t E m b a n d @
stembrief	s t E m b r i f
stembriewe	s t E m b r i v @
stembusse	s t E m b 9 s @
stembus	s t E m b 9 s
stemdag	s t E m d a x
stemhebbende	s t E m h\ E b @ n d @
stemlokaal	s t E m l u k A: l
stemlokale	s t E m l u k A: l @
stemlose	s t E m l u@ s @
stemmery	s t E m @ r @i
stemme	s t E m @
stemmetjie	s t E m i k i
stemmige	s t E m @ x @
stemming	s t E m @ N
stempel	s t E m p @ l
stempersentasie	s t E m p { r s E n t A: s i
stemreg	s t E m r { x
stem	s t E m
stemtoon	s t E m t u@ n
stene	s t i@ n @
stensil	s t E n s @ l
stensilwerk	s t E n s @ l v { r k
stereochemie	s t i@ r i u x i@ m i
stereo	s t i@ r i u
stereotipering	s t i@ r i u t i p i@ r @ N
stereotipes	s t i@ r i u t i p @ s
sterfbed	s t { r f b E t
sterfgevalle	s t { r f x @ f a l @
sterf	s t { r f
sterftes	s t { r f t @ s
sterfte	s t { r f t @
sterftesyfers	s t { r f t @ s @i f @ r s
sterftesyfer	s t { r f t @ s @i f @ r
steriele	s t @ r i l @
steriel	s t @ r i l
sterilisasie	s t E r @ l i s A: s i
steriliseer	s t E r @ l i s i@ r
sterker	s t { r k @ r
sterkpunte	s t { r k p 9 n t @
sterkpunt	s t { r k p 9 n t
sterkste	s t { r k s t @
sterk	s t { r k
sterkte	s t { r k t @
sterling	s t { r l @ N
sternum	s t { r n 9 m
steroïede	s t E r u i d @
sterrekundiges	s t { r @ k 9 n d @ x @ s
sterrestelsels	s t { r @ s t { l s @ l s
sterrestelsel	s t { r @ s t { l s @ l
sterre	s t { r @
sterretjie	s t { r i k i
sterrewag	s t { r @ v a x
ster	s t { r
sterte	s t { r t @
stert	s t { r t
sterwende	s t { r v @ n d @
sterwend	s t { r v @ n t
sterwe	s t { r v @
ste	s t @
stet	s t E t
steundienste	s t 2: n d i n s t @
steunpilare	s t 2: n p i l A: r @
steun	s t 2: n
steunvlak	s t 2: n f l a k
steurend	s t 2: r @ n t
steurings	s t 2: r @ N s
steurnisse	s t 2: r n @ s @
steur	s t 2: r
stewels	s t i@ v @ l s
stewiger	s t i@ v @ x @ r
stewige	s t i@ v @ x @
stewigheid	s t i@ v @ x h\ @i t
stewig	s t i@ v @ x
stiefdogter	s t i f d O x t @ r
stiefpa	s t i f p A:
stiefseun	s t i f s 2: n
stief	s t i f
stigma	s t i x m a
stigmatisering	s t i x m a t i s i@ r @ N
stig	s t @ x
stigtelike	s t @ x t @ l @ k @
stigterlid	s t @ x t @ r l @ t
stigterslid	s t @ x t @ r s l @ t
stigters	s t @ x t @ r s
stigter	s t @ x t @ r
stigte	s t @ x t @
stigting	s t @ x t @ N
stik	s t @ k
stikstof	s t @ k s t O f
stilering	s t @ l i@ r @ N
stilgebly	s t @ l x @ b l @i
stilgehou	s t @ l x @ h\ @u
stilgemaak	s t @ l x @ m A: k
stilhou	s t @ l h\ @u
stiller	s t @ l @ r
stille	s t @ l @
stilletjies	s t @ l i k i s
stilmaak	s t @ l m A: k
stilsit	s t @ l s @ t
stilstaande	s t @ l s t A: n d @
stilstaan	s t @ l s t A: n
stilstand	s t @ l s t a n t
stil	s t @ l
stilswye	s t @ l s w @i @
stiltes	s t @ l t @ s
stilte	s t @ l t @
stimulant	s t @ m y l a n t
stimulasie	s t @ m y l A: s i
stimuleer	s t @ m y l i@ r
stimulerende	s t @ m y l i@ r @ n d @
stimulerend	s t @ m y l i@ r @ n t
stimulering	s t @ m y l i@ r @ N
stimuli	s t @ m y l i
stimulus	s t @ m y l 9 s
stingels	s t @ N @ l s
stingel	s t @ N @ l
stiptelike	s t @ p t @ l @ k @
stoeiers	s t u i @ r s
stoeiery	s t u i @ r @i
stoei	s t u i
stoele	s t u l @
stoel	s t u l
stoepe	s t u p @
stoep	s t u p
stoetery	s t u t @ r @i
stoethings	s t u t h\ @ N s
stoet	s t u t
stoffasie	s t O f A: s i
stoflike	s t O f l @ k @
stof	s t O f
stofsuier	s t O f s 9y @ r
stofwolk	s t Of  v O l k
stogastiese	s t u x a s t i s @
stoïgiometriese	s t u i x i u m i@ t r i s @
stoker	s t u@ k @ r
stokke	s t O k @
stokkie	s t O k i
stokou	s t O k @u
stokperdjie	s t O k p { r k i
stok	s t O k
stokstyf	s t O k s t @i f
stol	s t O l
stomgeslaan	s t O m x @ s l A: n
stomme	s t O m @
stompe	s t O m p @
stompie	s t O m p i
stomp	s t O m p
stom	s t O m
stonk	s t O N k
stoof	s t u@ f
stook	s t u@ k
stoomroller	s t u@ m r O l @ r
stoom	s t u@ m
stoomtrein	s t u@ m t r @i n
stootskrapers	s t u@ t s k r A: p @ r s
stootskraper	s t u@ t s k r A: p @ r
stoot	s t u@ t
stopgesit	s t O p x @ s @ t
stopsit	s t O p s @ t
stop	s t O p
stopstraat	s t O p s t r A: t
stopteken	s t O p t i@ k @ n
store	s t u@ r @
storieboek	s t u@ r i b u k
storielyn	s t u@ r i l @i n
stories	s t u@ r i s
storie	s t u@ r i
storieverteller	s t u@ r i f @ r t { l @ r
stormagtige	s t O r @ m a x t @ x @
stormloop	s t O r @ m l u@ p
storms	s t O r @ m s
stormsterk	s t O r m s t { r k
storm	s t O r m
stormwater	s t O r m v A: t @ r
storte	s t O r t @
storting	s t O r t @ N
stort	s t O r t
stote	s t u@ t @
stotter	s t O t @ r
stoute	s t @u t @
stoutste	s t @u t s t @
stout	s t @u t
stowwerige	s t O v @ r @ x @
stowwe	s t O v @
straalplate	s t r A: l p l A: t @
straal	s t r A: l
straatblokke	s t r A: t b l O k @
straathoeke	s t r A: t h\ u k @
straathoek	s t r A: t h\ u k
straatkinders	s t r A: t k @ n d @ r s
straatname	s t r A: t n A: m @
straatsmouse	s t r A: t s m @u s @
straat	s t r A: t
strafbaar	s t r a f b A: r
strafbare	s t r a f b A: r @
strafdoele	s t r a f d u l @
strafdoel	s t r a f d u l
strafdrie	s t r a f d r i
strafoplegging	s t r a f O p l { x @ N
strafprosesreg	s t r a f p r u s E s r { x
strafproseswet	s t r a f p r u s E s v E t
strafregtelike	s t r a f r { x t @ l @ k @
strafsake	s t r a f s A: k @
strafskoppe	s t r a f s k O p @
strafskop	s t r a f s k O p
strafste	s t r a f s t @
straf	s t r a f
strafversagting	s t r a f @ r s a x t @ N
straks	s t r a k s
strak	s t r a k
stralende	s t r A: l @ n d @
stralend	s t r A: l @ n t
straler	s t r A: l @ r
strale	s t r A: l @
straling	s t r A: l @ N
stram	s t r a m
strande	s t r a n d @
strandfront	s t r a n t f r O n t
strandhuis	s t r a n t h\ 9y s
strandmeer	s t r a n t m i@ r
strand	s t r a n t
strateeg	s t r a t i@ x
strategieë	s t r a t @ x i @
strategiese	s t r a t i@ x i s @
strategies	s t r a t i@ x i s
strategie	s t r a t @ x i
strate	s t r A: t @
stratifikasie	s t r a t @ f i k A: s i
strawwer	s t r a v @ r
strawwe	s t r a v @
streef	s t r i@ f
streekbedeling	s t r i@ k b @ d i@ l @ N
streekbestuurder	s t r i@ k b @ s t y r d @ r
streekdiensteraad	s t r i@ k d i n s t @ r A: t
streekdirekteur	s t r i@ k d i r E k t 2: r
streekgrondslag	s t r i@ k x r O n t s l a x
streekhof	s t r i@ k h\ O f
streekhoof	s t r i@ k h\ u@ f
streekkamer	s t r i@ k A: m @ r
streekkantoor	s t r i@ k a n t u@ r
streekkantore	s t r i@ k a n t u@ r @
streekkommissaris	s t r i@ k O m @ s A: r @ s
streeklanddros	s t r i@ k l a n d r O s
streekontwikkeling	s t r i@ k O n t v @ k @ l @ N
streekraad	s t r i@ k r A: t
streekrade	s t r i@ k r A: d @
streekregerings	s t r i@ k r @ x i@ r @ N s
streekregering	s t r i@ k r @ x i@ r @ N
streeksontwikkeling	s t r i@ k s O n t v @ k @ l @ N
streekspan	s t r i@ k s p a n
streeks	s t r i@ k s
streek	s t r i@ k
streekvlak	s t r i@ k f l a k
streel	s t r i@ l
streep	s t r i@ p
streeptruie	s t r i@ p t r 9y @
streke	s t r i@ k @
strekking	s t r { k @ N
strek	s t r { k
stremming	s t r E m @ N
strem	s t r E m
strenger	s t r E N @ r
strengste	s t r E N s t @
streng	s t r E N
strepe	s t r i@ p @
strepies	s t r i@ p i s
streshantering	s t r E s h\ a n t i@ r @ N
stressors	s t r E s O r s
stressor	s t r E s O r
stres	s t r E s
stresvlakke	s t r E s f l a k @
stresvolle	s t r E s f O l @
strewes	s t r i@ v @ s
strewe	s t r i@ v @
striemende	s t r i m @ n d @
strikke	s t r @ k @
strik	s t r @ k
string	s t r @ N
stroewe	s t r u v @
strofes	s t r u@ f @ s
strofe	s t r u@ f @
stroke	s t r u@ k @
strokiesprente	s t r u@ k i s p r E n t @
strokiesprent	s t r u@ k i s p r E n t
strokies	s t r u@ k i s
strokie	s t r u@ k i
strome	s t r u@ m @
strominge	s t r u@ m @ N @
stroming	s t r u@ m @ N
strompel	s t r O m p @ l
strooisage	s t r u@ i s A: x @
strooi	s t r u@ i
strook	s t r u@ k
stroomaf	s t r u@ m a f
stroombaan	s t r u@ m b A: n
stroombane	s t r u@ m b A: n @
stroomop	s t r u@ m O p
stroom	s t r u@ m
stroop	s t r u@ p
stropers	s t r u@ p @ r s
struggle	s t r a g @ l
struikelblokke	s t r 9y k @ l b l O k @
struikelblok	s t r 9y k @ l b l O k
struikel	s t r 9y k @ l
struike	s t r 9y k @
struik	s t r 9y k
strukturalisme	s t r 9 k t S y r a l @ s m @
struktureel	s t r 9 k t S y r i@ l
struktureer	s t r 9 k t y r i@ r
strukturele	s t r 9 k t S y r i@ l @
strukturering	s t r 9 k t S y r i@ r @ N
strukture	s t r 9 k t y r @
struktuurformules	s t r 9 k t y r f O r m y l @ s
struktuur	s t r 9 k t y r
struwelinge	s t r y v @ l @ N @
struweling	s t r y v @ l @ N
struwig	s t r y v @ x
strydbyl	s t r @i t b @i l
strydende	s t r @i d @ n d @
stryde	s t r @i d @
strydig	s t r @i d @ x
strydros	s t r @i t r O s
stryd	s t r @i t
stryery	s t r @i @ r @i
strykdeur	s t r @i k d 2: r
strykers	s t r @i k @ r s
strykkwartet	s t r @i k w a r t E t
stryk	s t r @i k
stry	s t r @i
studeerkamer	s t y d i@ r k A: m @ r
studeer	s t y d i@ r
studentedekaan	s t y d E n t @ d @ k A: n
studentegetalle	s t y d E n t @ x @ t a l @
studenteleiers	s t y d E n t @ l @i @ r s
studenteraad	s t y d E n t @ r A: t
studentespan	s t y d E n t @ s p a n
studente	s t y d E n t @
student	s t y d E n t
studiebeurs	s t y d i b 2: r s
studiebrief	s t y d i b r i f
studiegeld	s t y d i x { l t
studiegidse	s t y d i x @ t s @
studiegids	s t y d i x @ t s
studiehandleiding	s t y d i h\ a n t l @i d @ N
studiejaar	s t y d i j A: r
studiejare	s t y d i j A: r @
studiemateriaal	s t y d i m a t i@ r i A: l
studieopdragte	s t y d i O p d r a x t @
studieprogram	s t y d i p r u x r a m
studieproses	s t y d i p r u s E s
studieriglyne	s t y d i r @ x l @i n @
studierigtings	s t y d i r @ x t @ N s
studierigting	s t y d i r @ x t @ N
studierooster	s t y d i r u@ s t @ r
studies	s t y d i s
studie	s t y d i
studietema	s t y d i t i@ m a
studievelde	s t y d i f { l d @
studieveld	s t y d i f { l t
studieweë	s t y d i v i@
studiewerk	s t y d i v { r k
studios	s t u d i @u s
studio	s t u d i @u
stug	s t 9 x
stuifmeel	s t 9y f m i@ l
stuiptrekkings	s t 9y p t r { k @ N s
stuitige	s t 9y t @ x @
stuit	s t 9y t
stukkende	s t 9 k @ n d @
stukkend	s t 9 k @ n t
stukke	s t 9 k @
stukkies	s t 9 k i s
stukkie	s t 9 k i
stukrag	s t y k r a x
stuks	s t 9 k s
stuk	s t 9 k
stu	s t y
stut	s t 9 t
stutte	s t 9 t @
stuurder	s t y r d @ r
stuurkajuit	s t y r k a j 9y t
stuurkolom	s t y r k u l O m
stuur	s t y r
stuurwiel	s t y r v i l
styfgeloop	s t @i f x @ l u@ p
styf	s t @i f
stygende	s t @i x @ n d @
stygfase	s t @i x f A: s @
stygings	s t @i x @ N s
styging	s t @i x @ N
styg	s t @i x
style	s t @i l @
styl	s t @i l
stylvolle	s t @i l f O l @
stylvol	s t @i l f O l
stysel	s t @i s @ l
stywer	s t @i v @ r
stywe	s t @i v @
subartikel	s 9 b a r t i k @ l
subjek	s 9 b j E k
subjekte	s 9 b j E k t @
subjektief	s 9 b j E k t i f
subjektiewe	s 9 b j E k t i v @
subkategorieë	s 9 b k a t @ x u r i @
subkomitee	s 9 b k O m @ t i@
subkomitees	s 9 b k O m @ t i@ s
subkontrakteurs	s 9 b k O n t r a k t 2: r s
subprogramme	s 9 p r u x r a m @
subprogram	s 9 p r u x r a m
subraad	s 9 b r A: t
subsidieer	s 9 b s i d i i@ r
subsidie	s 9 b s i d i
subsidies	s 9 b s i d i s
subsisteem	s 9 b s @ s t i@ m
substasie	s 9 b s t A: s i
substitute	s 9 b s t @ t y t @
substraat	s 9 b s t r A: t
substrukture	s 9 b s t r 9 k t y r @
substruktuur	s 9 b s t r 9 k t y r
sub	s u b
subtemas	s 9 b t i@ m a s
subtiele	s 9 b t i l @
subtiel	s 9 b t i l
subtiliteit	s 9 b t i l i t @i t
subtipes	s 9 b t i p @ s
subtitel	s 9 b t i t @ l
subunie	s 9 b y n i
suffiks	s 9 f @ k s
suggereer	s 9 x @ r i@ r
sug	s 9 x
sugtend	s 9 x t @ n t
suidelike	s 9y d @ l @ k @
